Receiver_Address	Token_ID	Amount	usd	price	fractions	Round	Airdropped
0x164a15e16d697c2f8ac77c2866441f411365d396	1587	1	11	0	11	Gitcoin Alpha	yes
0x7b0f527b635552786b242f50ed8a3c7f0c07d501	1587	1	11	0	11	Gitcoin Alpha	yes
0xb9050dd2286e1eb806921ffbf162231d5ae97d64	1587	1	10.18	0	10	Gitcoin Alpha	yes
0x42e72ee0c7bf185f5fca0ad696a8f946b20a9516	1587	1	10.09	0	10	Gitcoin Alpha	yes
0x2b49b9ecb74e27475528c3b0b61db63f45444b63	1587	1	10.09	0	10	Gitcoin Alpha	yes
0xf2a89b88b3f285e2e2ba952366e26ebda3ecc8a1	1587	1	10.08	0	10	Gitcoin Alpha	yes
0x67f72412a592d066a2e688e62664116deabeab29	1587	1	10	0	10	Gitcoin Alpha	yes
0xc9b794a678a48bd5475e1bcd9b4f5a240a7453f7	1587	1	10	0	10	Gitcoin Alpha	yes
0x6cee7b340764c49a827c60d2b8729e49405fbefd	1587	1	10	0	10	Gitcoin Alpha	yes
0x77b175d193a19378031f4a81393fc0cbd5cf4079	1587	1	10	0	10	Gitcoin Alpha	yes
0x5f2c7d317a06237168d6aa960c1095808662b154	1587	1	9.96	0	9	Gitcoin Alpha	yes
0xf55d40d1e5255a639ab36834f93d44ce8125e047	1587	1	6	0	6	Gitcoin Alpha	yes
0xdaf780714ce4931f98129060445fc6eb4ab73bb1	1587	1	5.01	0	5	Gitcoin Alpha	yes
0xc584f09928d490237831f6e5da805cba82652497	1587	1	5	0	5	Gitcoin Alpha	yes
0xb03f5438f9a243de5c3b830b7841ec315034cd5f	1587	1	4.76	0	4	Gitcoin Alpha	yes
0x29e46015ccfe13cfe8dc96d75760a6290df311ee	1587	1	4.61	0	4	Gitcoin Alpha	yes
0x885e2491146feef170d63065aecc72985a787287	1587	1	4	0	4	Gitcoin Alpha	yes
0x0cb37d662bee48b2bc622d1eefc3e977880e69fa	1587	1	3.99	0	3	Gitcoin Alpha	yes
0x20d5f9f0f97dbc18f0ae8ae09f0d9430ff6f975d	1587	1	3.41	0	3	Gitcoin Alpha	yes
